id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Jungle,Bassline Prophet,hip-hop,aggressive,0.88,95,0.42,0.91,0.04
12,Willow & Dust,The Porch Sound,folk,melancholic,0.31,67,0.38,0.44,0.95
13,Red Signal,Iron Veil,metal,aggressive,0.97,168,0.22,0.52,0.06
14,Neon Carnival,Drop District,edm,euphoric,0.95,128,0.88,0.94,0.03
15,Slow Burn Sunday,Ivory Keys,classical,peaceful,0.18,52,0.74,0.28,0.98
16,Gold & Rust,Mesa Road,country,nostalgic,0.54,104,0.78,0.67,0.82
17,Quarter Past Midnight,Velvet Static,r&b,romantic,0.61,88,0.69,0.72,0.41
18,Monsoon Season,Drift Tabla,world,spiritual,0.44,112,0.57,0.63,0.76
19,Frozen Harbor,Pale Circuit,darkwave,brooding,0.67,100,0.31,0.69,0.29
20,Backyard Frequency,Sun Crackle,reggae,laid-back,0.49,82,0.83,0.76,0.68
